#NAME?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x00,x01,x02,x03,x04,x05,x06,x07,x08,x09,x10,x11,x12,x13,x14
Australia,,,,,,10.0,9.4,9.1,9.1,9.0,9.0,9.4,9.8,9.7,9.7,9.5,9.4,9.7,9.9,10.1,10.1,10.0,10.1,10.2,10.4,10.5,10.3,10.6,10.5,10.6,10.5,10.6,10.8,10.8,10.8
Belgium,9.6,10.0,10.4,10.4,10.2,10.0,10.1,9.9,10.0,10.0,10.0,10.2,10.5,10.6,10.6,10.6,10.5,10.5,10.6,10.6,10.5,10.5,10.6,10.5,10.5,10.4,10.4,10.5,10.6,10.9,10.8,10.7,10.6,10.7,10.7
Canada,7.3,7.1,6.7,6.4,6.3,6.2,6.1,6.1,6.2,6.3,6.3,6.2,6.6,6.8,7.0,7.0,7.1,7.1,7.1,7.1,6.9,6.9,6.8,6.7,6.7,6.8,6.9,7.0,7.3,7.7,8.0,8.0,8.1,8.2,8.2
Chile,,,,,,,,,,,1.3,1.5,1.5,1.6,1.7,1.7,1.8,1.9,2.0,2.1,2.3,2.4,2.5,2.5,2.6,2.6,2.7,2.7,2.7,2.9,3.0,3.0,3.1,3.3,3.4
Czech Republic,,,,,,,,,,,,2.5,2.5,2.1,1.9,1.7,1.8,1.7,1.6,2.0,2.5,3.0,3.3,3.6,3.7,3.9,4.2,4.2,4.0,3.9,3.9,3.8,3.7,3.7,3.8
Estonia,,,,,,,,,,,,,,,,,,,1.3,1.4,1.5,1.7,1.9,2.1,2.4,2.5,2.7,3.0,3.3,3.3,3.2,3.0,3.0,3.3,3.6
France,6.9,7.2,7.6,7.8,7.9,8.1,8.2,8.2,8.3,8.3,8.4,8.5,8.7,8.7,8.8,8.9,9.0,9.2,9.4,9.5,9.5,9.7,9.8,10.0,10.3,10.7,11.0,11.1,11.1,11.3,11.3,11.2,11.4,11.4,11.5
Greece,5.5,5.4,6.6,6.4,6.8,6.7,6.1,5.7,5.9,6.2,6.1,5.8,5.5,5.4,5.5,5.5,5.5,5.6,5.7,5.7,5.8,5.8,5.9,6.0,6.1,6.2,6.4,6.5,6.7,7.0,6.8,6.6,5.3,5.2,5.2
Hungary,,,,,,,,,2.3,2.4,2.5,2.5,2.4,2.3,2.3,2.1,2.0,2.0,2.0,2.1,2.2,3.1,3.7,3.5,3.5,3.6,3.8,3.7,3.7,3.7,3.6,3.7,4.1,4.3,4.4
Ireland,,,,,,,,,,,,,,,,,,,,,8.9,8.8,8.8,8.9,9.6,10.0,9.9,10.4,10.2,10.7,10.8,10.5,10.4,10.3,10.3
Israel,,,,,,,,,,,,,,,,,,,,,5.2,5.6,5.5,5.5,5.5,5.5,5.6,5.9,5.8,5.7,5.5,5.6,5.7,5.8,5.8
Japan,4.2,4.3,4.5,4.6,4.6,4.7,4.8,4.9,5.0,5.1,5.1,5.2,5.3,5.5,5.6,5.8,5.9,5.9,6.0,6.1,6.2,6.3,6.4,6.4,6.4,6.5,6.5,6.5,6.6,6.8,7.0,7.1,7.2,7.3,7.3
Korea,,,,,,,,,1.6,1.9,2.0,2.1,2.3,2.4,2.5,2.6,2.7,2.8,2.7,2.8,2.9,3.3,3.5,3.7,4.0,4.3,4.5,4.9,5.1,5.2,5.2,5.3,5.5,5.7,6.1
Luxembourg,7.9,8.1,8.1,8.2,8.1,8.0,8.3,8.5,8.4,8.7,8.6,9.2,9.4,9.7,9.8,10.1,10.1,10.5,10.4,10.6,10.5,10.9,10.9,11.3,11.3,11.5,11.4,11.6,11.5,12.0,11.9,11.9,11.9,12.0,12.4
Mexico,,,,,2.3,2.2,2.1,1.9,1.7,1.6,1.4,1.4,1.3,1.3,1.3,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Netherlands,12.5,12.1,12.0,12.0,11.2,11.0,11.0,11.1,11.0,10.9,10.8,10.8,10.8,10.6,10.3,10.1,10.0,10.0,10.1,10.1,10.2,10.4,10.5,10.6,10.5,10.3,10.3,10.4,10.4,10.7,10.7,10.5,10.5,10.3,10.4
New Zealand,6.3,5.6,4.9,4.6,4.3,5.4,6.7,7.0,7.1,7.0,6.7,6.8,6.7,6.6,6.5,6.4,6.4,6.8,6.8,6.8,7.1,7.1,7.2,7.5,7.7,7.9,8.2,8.8,9.0,9.3,9.3,9.1,9.3,9.4,9.6
Poland,,,,,,,,,,0.8,1.1,1.7,2.1,2.2,2.3,2.3,2.4,2.5,2.6,2.6,3.1,3.3,3.2,3.3,3.3,3.4,3.5,3.6,4.1,4.5,4.5,4.6,4.8,5.0,5.3
Portugal,4.1,4.1,3.8,3.8,3.5,3.6,3.8,3.9,3.8,3.8,3.8,3.9,3.9,3.9,3.9,3.9,4.0,4.1,4.1,4.2,4.2,4.3,4.3,4.2,4.3,4.3,4.3,4.3,4.5,4.8,5.0,4.9,4.7,4.7,4.8
Slovak Republic,,,,,,,,,,,,0.7,0.8,0.8,0.9,0.9,1.0,1.0,1.1,1.3,1.5,1.6,1.8,2.2,2.4,2.5,2.7,2.9,3.1,3.4,3.5,3.6,3.7,3.7,3.7
Slovenia,,,,,,,,,,,,,,,,4.3,4.5,4.6,4.7,4.9,4.9,5.2,5.4,5.5,5.7,5.8,5.9,5.8,6.0,6.1,7.2,7.4,7.4,7.5,7.5
Spain,5.6,5.6,5.6,5.6,5.5,5.4,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.2,5.2,5.2,5.2,5.2,5.2,5.1,5.0,5.0,4.9,5.0,5.3,5.4,5.5,5.6,5.8,5.8,5.7,5.5,5.5,5.5
Turkey,,,,,,,,,,,,,,,2.9,2.8,3.3,3.7,3.3,4.2,3.6,3.1,3.3,3.6,4.6,4.8,4.8,4.8,4.7,4.8,4.8,5.0,5.1,5.2,5.3
United Kingdom,,,,,,,,,,,,,,,,,,,,,7.1,7.3,7.8,8.0,8.5,8.9,9.1,9.3,9.3,9.4,9.2,9.0,9.0,8.9,9.0
United States,8.9,8.7,8.2,8.0,7.6,7.4,7.2,7.0,6.7,6.4,6.7,7.2,7.2,7.0,6.8,6.6,6.6,7.2,7.5,7.3,7.1,6.9,6.8,6.6,6.5,6.2,6.1,6.2,6.8,7.6,7.9,7.6,7.5,7.4,7.3
Average,6.9,6.8,6.8,6.7,6.2,6.2,6.3,6.3,5.6,5.3,5.1,4.8,4.8,4.8,4.7,4.7,4.8,4.9,4.7,4.9,5.2,5.3,5.4,5.6,5.7,5.9,5.9,6.1,6.2,6.4,6.5,6.4,6.4,6.5,6.6
