,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x00,x01,x02,x03,x04,x05,x06,x07,x08,x09,x10,x11,x12,x13,x14
Australia,6.1,5.8,7.2,10,9,8.3,8.1,8.1,7.2,6.2,6.9,9.6,10.7,10.9,9.7,8.5,8.5,8.4,7.7,6.9,6.3,6.7,6.4,5.9,5.4,5,4.8,4.4,4.2,5.6,5.2,5.1,5.2,5.7,6.1
Belgium,8.1,10.4,12.2,13.5,13.5,12.6,11.9,11.6,10.5,9.5,8.9,9.5,10.5,12.1,13.1,13,12.7,12.6,11.7,8.6,7,6.6,7.5,8.2,8.4,8.4,8.2,7.5,7,7.9,8.3,7.1,7.5,8.4,8.5
Canada,7.5,7.6,11,12,11.3,10.6,9.7,8.8,7.8,7.5,8.1,10.3,11.2,11.4,10.4,9.5,9.6,9.1,8.3,7.6,6.8,7.2,7.7,7.6,7.2,6.8,6.3,6,6.1,8.3,8.1,7.5,7.3,7.1,6.9
Chile,,,,,,,,,,,,,,,,,6.3,6.1,6.3,9.8,9.2,9.1,8.9,8.5,8.8,8,7.7,7.1,7.8,9.7,8.1,7.1,6.4,5.9,6.4
Czech Republic,,,,,,,,,,,0.8,4.4,2.8,4.4,4.4,4.1,3.9,4.8,6.5,8.8,8.9,8.2,7.3,7.8,8.3,8,7.2,5.3,4.4,6.7,7.3,6.7,7,7,6.1
Estonia,,,,,,,,,,0.6,0.7,1.5,3.7,6.6,7.6,9.7,10,9.7,9.9,12.2,14.6,13.1,11.3,10.4,10.2,8.1,6,4.6,5.5,13.6,16.8,12.4,10.1,8.7,7.4
France,5.4,6.3,6.9,7.2,8.4,9,9,9.1,8.8,8.2,7.6,7.7,8.6,9.6,10.2,9.6,10.1,10.2,9.7,9.3,8,7.2,7.4,8,8.3,8.3,8.3,7.5,7,8.6,8.8,8.6,9.2,9.7,
Greece,2.8,4,5.8,7.8,8.1,7.8,7.4,7.3,7.6,7.4,7,7.6,8.7,9,9.3,9.4,9.9,9.9,10.8,11.9,11.2,10.5,10,9.4,10.3,9.8,8.9,8.2,7.3,9,12,16.5,23.8,27.3,26.6
Hungary,,,,,,,,,,,,,9.9,12.1,11,10.4,10.1,8.9,7.9,7.1,6.5,5.8,5.9,5.9,6.2,7.3,7.6,7.5,7.9,10.1,11.2,11.1,11,10.2,7.8
Ireland,7.4,10.5,11.6,14,15.6,16.7,17.1,17,16.4,15.2,13,14.8,15.2,15.8,14.8,12.2,11.9,10.4,7.9,6,4.6,3.9,4.5,4.7,4.6,4.8,4.7,4.8,5.8,12.3,13.9,14.6,15,13.9,11.8
Israel,,,,,,,,,,,,,,,,6.9,6.7,7.7,8.5,8.9,8.8,9.3,10.3,10.7,10.3,9,8.4,7.3,6.1,7.5,6.6,5.6,6.9,6.2,
Japan,2,2.2,2.4,2.6,2.7,2.6,2.8,2.8,2.5,2.3,2.1,2.1,2.2,2.5,2.9,3.2,3.4,3.4,4.1,4.7,4.7,5,5.4,5.3,4.7,4.4,4.1,3.8,4,5.1,5,4.6,4.3,4,
Korea,5.2,4.5,4.4,4.1,3.8,4,3.8,3.1,2.5,2.6,2.4,2.4,2.5,2.9,2.5,2.1,2,2.6,7,6.3,4.4,4,3.3,3.6,3.7,3.7,3.5,3.2,3.2,3.6,3.7,3.4,3.2,3.1,3.5
